Produit,Cout_Produit_AED,Prix_Vente_AED,Food_Cost_%,Ingredient,Unite,Cout_Unite_AED,Quantite,Sous_Total_Cout_AED,Order_Types,Maj_Par
Avocado creamy cheese croissant,9.72,39.0,26.17,Cheese Cream Elle & Vire,gms,0.031,35.0,1.085,All,Muhammad Muneer
Avocado creamy cheese croissant,9.72,39.0,26.17,Oil Pomace Olive,ml,0.027,5.0,0.135,All,Muhammad Muneer
Avocado creamy cheese croissant,9.72,39.0,26.17,Butter Croissants,piece,1.993,1.0,1.993,All,Muhammad Muneer
AVOCADO PESTO TOAST,7.87,36.0,22.95,Avocado Pesto Toast,Portions,7.865,1.0,7.865,All,Muhammad Muneer
BACON BENEDICT,7.01,34.0,21.65,Bacon Benedict,Portions,7.008,1.0,7.008,All,Muhammad Muneer
Baguette,1.19,0.0,0,Baguette,piece,1.194,1.0,1.194,All,Muhammad Muneer
Baguette,1.19,10.0,12.5,Baguette,piece,1.194,1.0,1.194,All,Muhammad Muneer
Baklava Cookie,2.34,0.0,0,Baklava Cookie,piece,2.338,1.0,2.338,All,Muhammad Muneer
Baklava Cookie,2.34,25.0,9.83,Baklava Cookie,piece,2.338,1.0,2.338,All,Muhammad Muneer
Beef Lasagna,19.45,69.0,29.6,Laza Nia Beef,Portions,19.454,1.0,19.454,All,Muhammad Muneer
BLG classic breakfast,2.67,29.0,9.67,Milk Full Cream,ml,0.004,150.0,0.663,All,Muhammad Muneer
BLG classic breakfast,2.67,29.0,9.67,Brazil Santa Ines Luiz Paulo Pereira (1kg),gms,0.1,20.0,2.006,All,Muhammad Muneer
BLG generous breakfast,9.09,49.0,19.48,Milk Full Cream,ml,0.004,150.0,0.663,All,Muhammad Muneer
BLG generous breakfast,9.09,49.0,19.48,Egg Unit,piece,0.589,3.0,1.767,All,Muhammad Muneer
BLG generous breakfast,9.09,49.0,19.48,Orange Naval,gms,0.005,1000.0,4.65,All,Muhammad Muneer
BLG generous breakfast,9.09,49.0,19.48,Brazil Santa Ines Luiz Paulo Pereira (1kg),gms,0.1,20.0,2.006,All,Muhammad Muneer
BLG Sauce,0.01,0.0,0,BLG sauce,gms,0.008,1.0,0.008,All,Jawad
BLG Sourdough avocado toast,4.77,35.0,14.31,Rye Bread,piece,4.727,0.3,1.418,All,Muhammad Muneer
BLG Sourdough avocado toast,4.77,35.0,14.31,Pomegranate,gms,0.012,50.0,0.6,All,Muhammad Muneer
BLG Sourdough avocado toast,4.77,35.0,14.31,Avocado Hass,gms,0.022,125.0,2.75,All,Muhammad Muneer
BLG Sourdough avocado toast,4.77,0.0,0,Avocado Hass,gms,0.022,125.0,2.75,All,Muhammad Muneer
BLG Sourdough avocado toast,4.77,0.0,0,Rye Bread,piece,4.727,0.3,1.418,All,Muhammad Muneer
BLG Sourdough avocado toast,4.77,0.0,0,Pomegranate,gms,0.012,50.0,0.6,All,Muhammad Muneer
BLG Turkish eggs on sourdough toast,2.6,39.0,7.0,Rye Bread,piece,4.727,0.3,1.418,All,Muhammad Muneer
BLG Turkish eggs on sourdough toast,2.6,39.0,7.0,Egg Unit,piece,0.589,2.0,1.178,All,Muhammad Muneer
Blueberry Latte Cafe,7.34,32.0,24.12,Milk Full Cream,ml,0.004,80.0,0.354,All,Muhammad Muneer
Blueberry Latte Cafe,7.34,32.0,24.12,Brazil Santa Ines Luiz Paulo Pereira (1kg),gms,0.1,20.0,2.006,All,Muhammad Muneer
Blueberry Latte Cafe,7.34,32.0,24.12,Puree Blueberry,gms,0.067,30.0,1.998,All,Muhammad Muneer
Blueberry Latte Cafe,7.34,32.0,24.12,Spanish mixed milk,ml,0.01,200.0,1.939,All,Muhammad Muneer
Blueberry Latte Cafe,7.34,32.0,24.12,Water sparkling (750 ml) - Al Ain Glass Bottle,ml,0.003,100.0,0.288,All,Muhammad Muneer
Blueberry Latte Cafe,7.34,32.0,24.12,Blueberry Fresh,gms,0.076,10.0,0.76,All,Muhammad Muneer
Blueberry Soda,4.04,15.0,28.28,Puree Blueberry,gms,0.067,7.0,0.466,All,Jawad
Blueberry Soda,4.04,15.0,28.28,Water sparkling (750 ml) - Al Ain Glass Bottle,ml,0.003,180.0,0.518,All,Jawad
Blueberry Soda,4.04,15.0,28.28,Blueberry syrup homemade,gms,0.053,22.0,1.158,All,Jawad
Blueberry Soda,4.04,15.0,28.28,Blueberry Fresh,gms,0.076,25.0,1.9,All,Jawad
Bombolini chocolate,0.25,0.0,0,Salt Nezo,gms,0.003,0.42,0.001,All,Jawad
Bombolini chocolate,0.25,0.0,0,Yeast Frozen Hirondelle,gms,0.015,0.67,0.01,All,Jawad
Bombolini chocolate,0.25,0.0,0,Flour T55 Moul-Bie,kg,4.72,0.02514,0.119,All,Jawad
Bombolini chocolate,0.25,0.0,0,Butter Unsalted Block,gms,0.03,1.17,0.035,All,Jawad
Bombolini chocolate,0.25,0.0,0,Egg Wheight,gms,0.009,5.03,0.044,All,Jawad
Bombolini chocolate,0.25,0.0,0,Milk Nadec,ml,0.004,10.89,0.04,All,Jawad
Bombolini chocolate,0.25,0.0,0,Sugar Regular,gms,0.003,1.68,0.005,All,Jawad
Bombolini Pistachio,0.25,0.0,0,Egg Wheight,gms,0.009,5.03,0.044,All,Jawad
Bombolini Pistachio,0.25,0.0,0,Butter Unsalted Block,gms,0.03,1.17,0.035,All,Jawad
Bombolini Pistachio,0.25,0.0,0,Flour T55 Moul-Bie,kg,4.72,0.02514,0.119,All,Jawad
Bombolini Pistachio,0.25,0.0,0,Sugar Regular,gms,0.003,1.68,0.005,All,Jawad
Bombolini Pistachio,0.25,0.0,0,Yeast Frozen Hirondelle,gms,0.015,0.67,0.01,All,Jawad
Bombolini Pistachio,0.25,0.0,0,Milk Nadec,ml,0.004,10.89,0.04,All,Jawad
Bombolini Pistachio,0.25,0.0,0,Salt Nezo,gms,0.003,0.42,0.001,All,Jawad
Bomboloni,0.26,0.0,0,Milk Nadec,ml,0.004,10.89,0.04,All,Jawad
Bomboloni,0.26,0.0,0,Flour T55 Moul-Bie,kg,4.72,0.0254,0.12,All,Jawad
Bomboloni,0.26,0.0,0,Salt Nezo,gms,0.003,0.42,0.001,All,Jawad
Bomboloni,0.26,0.0,0,Sugar Regular,gms,0.003,1.68,0.005,All,Jawad
Bomboloni,0.26,0.0,0,Egg Wheight,gms,0.009,5.03,0.044,All,Jawad
Bomboloni,0.26,0.0,0,Yeast Frozen Hirondelle,gms,0.015,0.67,0.01,All,Jawad
Bomboloni,0.26,0.0,0,Butter Unsalted Block,gms,0.03,1.17,0.035,All,Jawad
Bowl Tajine Chicken,11.13,49.0,23.85,Bowl Chicken Tagine,Box,11.128,1.0,11.128,All,Muhammad Muneer
Bowl Tajine Lamb,18.45,65.0,29.8,Bowl Tagine lamb with prunes,Box,18.449,1.0,18.449,All,Muhammad Muneer
Brazil Santa Ines Luiz Paulo Pereira 1 kg,100.31,165.0,63.83,Brazil Santa Ines Luiz Paulo Pereira (1kg),gms,0.1,1000.0,100.305,All,Muhammad Muneer
Brazil Santa Ines Luiz Paulo Pereira 250gms,32.0,55.0,61.09,Brazil Santa Ines Luiz Paulo Pereira (250g),gms,0.128,250.0,32,All,Muhammad Muneer
Brick Roll Cheese and Spinach,2.42,0.0,0,Brick roll Cheese and Spinach,piece,2.424,1.0,2.424,All,Muhammad Muneer
Brick Roll Chicken,4.52,0.0,0,Brick roll chicken,piece,4.518,1.0,4.518,All,Muhammad Muneer
Brick Roll Prawns,4.01,0.0,0,Brick roll Prawns,piece,4.006,1.0,4.006,All,Muhammad Muneer
Brioche Bread,8.7,28.0,32.63,Brioche Bread (300),piece,3.481,2.5,8.703,All,Muhammad Muneer
Brioche Bread,7.22,0.0,0,Flour T55 Moul-Bie,kg,4.72,0.00058,0.003,All,Jawad
Brioche Bread,7.22,0.0,0,Sugar Regular,gms,0.003,20.0,0.059,All,Jawad
Brioche Bread,7.22,0.0,0,Milk Nadec,ml,0.004,100.0,0.371,All,Jawad
Brioche Bread,7.22,0.0,0,Egg Unit,piece,0.589,3.0,1.767,All,Jawad
Brioche Bread,7.22,0.0,0,Yeast Frozen Hirondelle,gms,0.015,12.0,0.18,All,Jawad
Brioche Bread,7.22,0.0,0,Salt Nezo,gms,0.003,8.0,0.026,All,Jawad
Brioche Bread,7.22,0.0,0,"Water Al Ain bottled 1,5 L",ml,0.001,100.0,0.092,All,Jawad
Brioche Bread,7.22,0.0,0,Oil Pomace Olive,ml,0.027,20.0,0.538,All,Jawad
Brioche Bread,7.22,0.0,0,Butter Unsalted Block,gms,0.03,140.0,4.181,All,Jawad
Burger Sauce,1.01,3.0,35.35,Burger Sauce,gms,0.013,80.0,1.006,All,Muhammad Muneer
Burnt Basque Cheesecake,8.81,0.0,0,New Burnt Cheese Cake (10slices),Slice,6.002,1.0,6.002,All,Muhammad Muneer
Burnt Basque Cheesecake,8.81,0.0,0,Chocolate Sauce Homemade,gms,0.094,30.0,2.811,All,Muhammad Muneer
Burnt Basque Cheesecake Slice,8.81,32.0,28.91,Chocolate Sauce Homemade,gms,0.094,30.0,2.811,All,Muhammad Muneer
Burnt Basque Cheesecake Slice,8.81,32.0,28.91,New Burnt Cheese Cake (10slices),Slice,6.002,1.0,6.002,All,Muhammad Muneer
Burrata pesto croissant,54.35,0.0,0,Lettuce Romaine,gms,0.006,30.0,0.165,All,Jawad
Burrata pesto croissant,54.35,0.0,0,Salt Nezo,gms,0.003,1.0,0.003,All,Jawad
Burrata pesto croissant,54.35,0.0,0,croissant dough,gms,0.603,70.0,42.207,All,Jawad
Burrata pesto croissant,54.35,0.0,0,Lettuce Mesclun Mix,gms,0.064,20.0,1.285,All,Jawad
Burrata pesto croissant,54.35,0.0,0,Cheese Buratta,gms,0.085,118.0,10.03,All,Jawad
Burrata pesto croissant,54.35,0.0,0,Tomato Cherry Red,gms,0.024,20.0,0.48,All,Jawad
Burrata pesto croissant,54.35,0.0,0,Tomato Local,gms,0.004,40.0,0.17,All,Jawad
Burrata pesto croissant,54.35,0.0,0,Parsley Leaves,gms,0.009,1.0,0.009,All,Jawad
Butter Croissant,1.99,0.0,0,Butter Croissants,piece,1.993,1.0,1.993,All,Muhammad Muneer
Butter Croissants,1.99,14.0,14.93,Butter Croissants,piece,1.993,1.0,1.993,All,Muhammad Muneer
CAMEL PAW,2.88,20.0,15.12,Camel Paw Vanilla,piece,2.879,1.0,2.879,All,Muhammad Muneer
Cappuccino,2.78,0.0,0,Brazil Santa Ines Luiz Paulo Pereira (1kg),gms,0.1,20.0,2.006,All,Muhammad Muneer
Cappuccino,2.78,0.0,0,"Cocoa Powder 100% Pure ,22-24% c b Content,",gms,0.107,1.0,0.107,All,Muhammad Muneer
Cappuccino,2.78,0.0,0,Milk Full Cream,ml,0.004,150.0,0.663,All,Muhammad Muneer
Cappuccino,3.06,24.0,13.39,"Cocoa Powder 100% Pure ,22-24% c b Content,",gms,0.107,1.0,0.107,All,Muhammad Muneer
Cappuccino,3.06,24.0,13.39,Water sparkling (750 ml) - Al Ain Glass Bottle,ml,0.003,100.0,0.288,All,Muhammad Muneer
Cappuccino,3.06,24.0,13.39,Brazil Santa Ines Luiz Paulo Pereira (1kg),gms,0.1,20.0,2.006,All,Muhammad Muneer
Cappuccino,3.06,24.0,13.39,Milk Full Cream,ml,0.004,150.0,0.663,All,Muhammad Muneer
CARAMELIZED FRENCH TOAST,8.71,29.0,31.54,French Toast,piece,8.711,1.0,8.711,All,Muhammad Muneer
Caramel Knot,2.26,0.0,0,Caramel Knot,piece,2.257,1.0,2.257,All,Muhammad Muneer
Cardamom Roll,4.44,0.0,0,Cardamom Roll,piece,4.443,1.0,4.443,All,Muhammad Muneer
Carrot Cake Slice,4.43,0.0,0,Carrot Cake - Slice,Slice,4.433,1.0,4.433,All,Muhammad Muneer
Carrot Cake Slice,4.43,32.0,14.54,Carrot Cake - Slice,Slice,4.433,1.0,4.433,All,Muhammad Muneer
Cheddar Cheese Croissant,3.71,25.0,15.58,Croissant Cheddar Cheese (Flaky&Cream),piece,3.712,1.0,3.712,All,Muhammad Muneer
Cheddar Cheese Croissant,3.71,0.0,0,Croissant Cheddar Cheese (Flaky&Cream),piece,3.712,1.0,3.712,All,Muhammad Muneer
Cheese Croissant,2.6,0.0,0,CROISSANT BUTTER SHEET 84%- PRESIDENT - 5X2KG,gms,0.061,23.53,1.441,All,Jawad
Cheese Croissant,2.6,0.0,0,Butter Unsalted Block,gms,0.03,4.12,0.123,All,Jawad
Cheese Croissant,2.6,0.0,0,Flour T55 Moul-Bie,kg,4.72,0.05882,0.278,All,Jawad
Cheese Croissant,2.6,0.0,0,Cream Whipping Elle & Vire,ml,0.025,1.76,0.044,All,Jawad
Cheese Croissant,2.6,0.0,0,Water extraction,ml,0,21.18,0,All,Jawad
Cheese Croissant,2.6,0.0,0,Salt Nezo,gms,0.003,1.06,0.003,All,Jawad
Cheese Croissant,2.6,0.0,0,Cheese Emmental Block,gms,0.023,20.0,0.47,All,Jawad
Cheese Croissant,2.6,0.0,0,Sugar Regular,gms,0.003,5.88,0.017,All,Jawad
Cheese Croissant,2.6,0.0,0,Egg York,gms,0.009,21.59,0.191,All,Jawad
Cheese Croissant,2.6,0.0,0,Yeast Frozen Hirondelle,gms,0.015,2.34,0.035,All,Jawad
Chef Hot Sandwich with French Fries,18.23,55.0,34.8,Tomato Ketchup,gms,0.009,20.0,0.171,All,Muhammad Muneer
Chef Hot Sandwich with French Fries,18.23,55.0,34.8,Mix salads,gms,0.032,60.0,1.898,All,Muhammad Muneer
Chef Hot Sandwich with French Fries,18.23,55.0,34.8,Angus beef mince 80/20 topside + chuck,gms,0.077,180.0,13.803,All,Muhammad Muneer
Chef Hot Sandwich with French Fries,18.23,55.0,34.8,Brioche bread kitchen,piece,0.711,2.0,1.422,All,Muhammad Muneer
Chef Hot Sandwich with French Fries,18.23,55.0,34.8,Potato Fries  ILLUSION,gms,0.005,100.0,0.462,All,Muhammad Muneer
Chef Hot Sandwich with French Fries,18.23,55.0,34.8,Onion Red,gms,0.004,30.0,0.111,All,Muhammad Muneer
Chef Hot Sandwich with French Fries,18.23,55.0,34.8,Lettuce Romaine,gms,0.006,20.0,0.11,All,Muhammad Muneer
Chef Hot Sandwich with French Fries,18.23,55.0,34.8,Tomato Local,gms,0.004,60.0,0.255,All,Muhammad Muneer
Chicken Alfredo Lasagna,14.68,55.0,28.03,Laza Nia Alfredo,Portions,14.682,1.0,14.682,All,Muhammad Muneer
Chicken Caesar Salad,9.89,32.0,32.45,Chicken Caesar Salad,Portions,9.89,1.0,9.89,All,Muhammad Muneer
Chicken Sandough,7.89,0.0,0,Sando Chicken,Portions,7.887,1.0,7.887,All,Muhammad Muneer
CHICKEN SUPREME BY TAESTED,11.07,65.0,17.88,Chicken Supreme,Portions,11.066,1.0,11.066,All,Muhammad Muneer
Chocolate Chip Cramique,1.84,0.0,0,Chocolate Chip Cramique,piece,1.842,1.0,1.842,All,Muhammad Muneer
Chocolate knott,4.39,0.0,0,Chocolate Knott,piece,4.39,1.0,4.39,All,Muhammad Muneer
Chocolate Orange Cake,7.23,0.0,0,Chocolate Orange Cake - Slice,Slice,7.231,1.0,7.231,All,Muhammad Muneer
Chocolate Orange Cake - Slice,7.23,34.0,22.33,Chocolate Orange Cake - Slice,Slice,7.231,1.0,7.231,All,Muhammad Muneer
Choco - Tonka Pain Suisse,3.71,20.0,19.48,Croissant Cheddar Cheese (Flaky&Cream),piece,3.712,1.0,3.712,All,Muhammad Muneer
Chouquettes - Box of 10,2.43,20.0,12.81,Chouquettes,piece,0.243,10.0,2.435,All,Muhammad Muneer
Ciabatta bread,0.69,0.0,0,Ciabatta Bread,piece,0.686,1.0,0.686,All,Muhammad Muneer
Cinnamon Roll,2.45,0.0,0,Cinnamon Roll,piece,2.45,1.0,2.45,All,Muhammad Muneer
Classic Fries,1.29,0.0,0,French Fries,gms,0.013,100.0,1.29,All,Muhammad Muneer
Classic Latte,3.18,25.0,13.36,Water sparkling (750 ml) - Al Ain Glass Bottle,ml,0.003,100.0,0.288,All,Muhammad Muneer
Classic Latte,3.18,25.0,13.36,Brazil Santa Ines Luiz Paulo Pereira (1kg),gms,0.1,20.0,2.006,All,Muhammad Muneer
Classic Latte,3.18,25.0,13.36,Milk Full Cream,ml,0.004,200.0,0.884,All,Muhammad Muneer
Classic Latte,2.89,0.0,0,Brazil Santa Ines Luiz Paulo Pereira (1kg),gms,0.1,20.0,2.006,All,Muhammad Muneer
Classic Latte,2.89,0.0,0,Milk Full Cream,ml,0.004,200.0,0.884,All,Muhammad Muneer
Classic Mojito,2.78,22.0,13.27,Sugar Syrup Homemade,ml,0.003,30.0,0.087,All,Muhammad Muneer
Classic Mojito,2.78,22.0,13.27,Lime Green,gms,0.008,150.0,1.2,All,Muhammad Muneer
Classic Mojito,2.78,22.0,13.27,Schweppes Soda Water,ml,0.004,100.0,0.44,All,Muhammad Muneer
Classic Mojito,2.78,22.0,13.27,Mint Leaves Local,gms,0.07,15.0,1.053,All,Muhammad Muneer
Classic Smash Burger,8.19,0.0,0,Classic Smash Burger,piece,8.193,1.0,8.193,All,Muhammad Muneer
Classic Smash Burger,8.19,54.0,15.92,Classic Smash Burger,piece,8.193,1.0,8.193,All,Muhammad Muneer
Coconut Milk,1.56,3.0,54.6,Alpro Coconut Barista Pro,ml,0.01,150.0,1.56,All,Jawad
Colombia,6.4,0.0,0,Colombia Finca la Pradera Honey Strawberry 1kg,gms,0.32,20.0,6.4,All,Muhammad Muneer
Colombia Finca la Pradera Honey Strawberry 250gms,85.46,135.0,66.47,Colombia Finca la Pradera Honey Strawberry 250g,gms,0.342,250.0,85.455,All,Muhammad Muneer
Confit Beef Cheek,19.04,65.0,30.76,Confit Beef Cheek,Portions,19.035,1.0,19.035,All,Muhammad Muneer
Cookies Baklava,2.34,0.0,0,Baklava Cookie,piece,2.338,1.0,2.338,All,Muhammad Muneer
Cortado,2.45,10.0,25.73,Milk Full Cream,ml,0.004,100.0,0.442,All,Muhammad Muneer
Cortado,2.45,10.0,25.73,Brazil Santa Ines Luiz Paulo Pereira (1kg),gms,0.1,20.0,2.006,All,Muhammad Muneer
Cortado,2.96,21.0,14.8,Brazil Santa Ines Luiz Paulo Pereira (1kg),gms,0.1,20.0,2.006,All,Muhammad Muneer
Cortado,2.96,21.0,14.8,Water sparkling (750 ml) - Al Ain Glass Bottle,ml,0.003,100.0,0.288,All,Muhammad Muneer
Cortado,2.96,21.0,14.8,Milk Full Cream,ml,0.004,150.0,0.663,All,Muhammad Muneer
Country bread,4.83,15.0,33.81,Salt Nezo,gms,0.003,10.0,0.032,All,Muhammad Muneer
Country bread,4.83,15.0,33.81,Flour T55 Moul-Bie,kg,4.72,0.3,1.416,All,Muhammad Muneer
Country bread,4.83,15.0,33.81,Yeast Frozen Hirondelle,gms,0.015,10.0,0.15,All,Muhammad Muneer
Country bread,4.83,15.0,33.81,Water extraction,ml,0,350.0,0,All,Muhammad Muneer
Country bread,4.83,15.0,33.81,Flour Rye Dark Moul Bie,kg,11.776,0.2,2.355,All,Muhammad Muneer
Country bread,4.83,15.0,33.81,Sourdough,gms,0.005,100.0,0.472,All,Muhammad Muneer
Country bread,4.83,15.0,33.81,Oil Pomace Olive,ml,0.027,15.0,0.404,All,Muhammad Muneer
Cramique,1.84,10.0,19.32,Chocolate Chip Cramique,piece,1.842,1.0,1.842,All,Muhammad Muneer
CROAST SAVORY,5.92,36.0,17.27,Croast,piece,5.916,1.0,5.916,All,Muhammad Muneer
Croissant,1.99,0.0,0,Butter Croissants,piece,1.993,1.0,1.993,All,Muhammad Muneer
Dark Ganache Chocolate cookie,3.3,0.0,0,Dark Ganache Cookies,piece,3.303,1.0,3.303,All,Muhammad Muneer
Dark Ganache Cookie,3.3,25.0,13.86,Dark Ganache Cookies,piece,3.303,1.0,3.303,All,Muhammad Muneer
Dark Ganache Cookies,3.3,0.0,0,Dark Ganache Cookies,piece,3.303,1.0,3.303,All,Muhammad Muneer
Dark Mocha,4.54,0.0,0,Milk Full Cream,ml,0.004,150.0,0.663,All,Muhammad Muneer
Dark Mocha,4.54,0.0,0,Chocolate Sauce Homemade,gms,0.094,20.0,1.874,All,Muhammad Muneer
Dark Mocha,4.54,0.0,0,Brazil Santa Ines Luiz Paulo Pereira (1kg),gms,0.1,20.0,2.006,All,Muhammad Muneer
Decaf - Colombia,2.9,0.0,0,Coffee Colombia Condor Decaf,gms,0.145,20.0,2.9,All,Jawad
Double Cheese Hot Sandwich,12.83,56.0,24.06,Brioche bread kitchen,piece,0.711,2.0,1.422,All,Muhammad Muneer
Double Cheese Hot Sandwich,12.83,56.0,24.06,Dill pickles,gms,0.058,20.0,1.155,All,Muhammad Muneer
Double Cheese Hot Sandwich,12.83,56.0,24.06,Potato Fries  ILLUSION,gms,0.005,100.0,0.462,All,Muhammad Muneer
Double Cheese Hot Sandwich,12.83,56.0,24.06,Tomato Local,gms,0.004,80.0,0.34,All,Muhammad Muneer
Double Cheese Hot Sandwich,12.83,56.0,24.06,Angus beef mince 80/20 topside + chuck,gms,0.077,100.0,7.669,All,Muhammad Muneer
Double Cheese Hot Sandwich,12.83,56.0,24.06,Cheese Cheddar Red Block,kg,42.83,0.04,1.713,All,Muhammad Muneer
Double Cheese Hot Sandwich,12.83,56.0,24.06,Onion Red,gms,0.004,20.0,0.074,All,Muhammad Muneer
Double Choco Cookie,3.04,25.0,12.77,Double Choco Cookies,piece,3.036,1.0,3.036,All,Muhammad Muneer
Double Choco Cookie,3.04,0.0,0,Double Choco Cookies,piece,3.036,1.0,3.036,All,Muhammad Muneer
Double espresso,2.24,10.0,23.52,Brazil Santa Ines Luiz Paulo Pereira (1kg),gms,0.1,20.0,2.006,All,Muhammad Muneer
Double espresso,2.24,10.0,23.52,Water sparkling (750 ml) - Al Ain Glass Bottle,ml,0.003,80.0,0.23,All,Muhammad Muneer
Double Smash Burger,15.36,56.0,28.8,Double Smash Burger,Portions,15.363,1.0,15.363,All,Muhammad Muneer
Double Smash Burger,15.36,0.0,0,Double Smash Burger,Portions,15.363,1.0,15.363,All,Muhammad Muneer
Egg benedict croissant,3.17,0.0,0,Butter Croissants,piece,1.993,1.0,1.993,All,Muhammad Muneer
Egg benedict croissant,3.17,0.0,0,Egg Unit,piece,0.589,2.0,1.178,All,Muhammad Muneer
Egg Benedict Croissant,8.53,37.0,24.21,Mix salads,gms,0.032,100.0,3.163,All,Muhammad Muneer
Egg Benedict Croissant,8.53,37.0,24.21,Butter Croissants,piece,1.993,1.0,1.993,All,Muhammad Muneer
Egg Benedict Croissant,8.53,37.0,24.21,Egg Unit,piece,0.589,2.0,1.178,All,Muhammad Muneer
Egg Benedict Croissant,8.53,37.0,24.21,Avocado Hass,gms,0.022,100.0,2.2,All,Muhammad Muneer
Eggs Your Way,3.79,0.0,0,Tomato Local,gms,0.004,100.0,0.425,All,Muhammad Muneer
Eggs Your Way,3.79,0.0,0,Egg Unit,piece,0.589,3.0,1.767,All,Muhammad Muneer
Eggs Your Way,3.79,0.0,0,Mushroom Button,gms,0.02,80.0,1.6,All,Muhammad Muneer
Egg Your Way (3 Eggs),5.71,27.0,22.21,Mushroom Button,gms,0.02,100.0,2,All,Muhammad Muneer
Egg Your Way (3 Eggs),5.71,27.0,22.21,Egg Unit,piece,0.589,3.0,1.767,All,Muhammad Muneer
Egg Your Way (3 Eggs),5.71,27.0,22.21,Tomato Local,gms,0.004,100.0,0.425,All,Muhammad Muneer
Egg Your Way (3 Eggs),5.71,27.0,22.21,Rye Bread,piece,4.727,0.2,0.945,All,Muhammad Muneer
